Journal name,JCR Abbreviation,ISSN,eISSN,Category,2021 JIF
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,NEUROPATH APPL NEURO,0305-1846,1365-2990,PATHOLOGY - SCIE,6.25
Journal of Biological Engineering,J BIOL ENG,1754-1611,1754-1611,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,6.248
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,ANN ALLERG ASTHMA IM,1081-1206,1534-4436,IMMUNOLOGY - SCIE,6.248
JOURNAL OF PHYSIOLOGY-LONDON,J PHYSIOL-LONDON,0022-3751,1469-7793,PHYSIOLOGY - SCIE,6.228
Arabian Journal of Chemistry,ARAB J CHEM,1878-5352,1878-5379,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",6.212
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,INT J MOL SCI,N/A,1422-0067,"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CHEMISTRY, MULTIDISCIPLINARY - SCIE",6.208
CYTOTHERAPY,CYTOTHERAPY,1465-3249,1477-2566,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; CELL BIOLOGY - SCIE,6.196
LAND USE POLICY,LAND USE POLICY,0264-8377,1873-5754,ENVIRONMENTAL STUDIES - SSCI,6.189
CRITICAL REVIEWS IN TOXICOLOGY,CRIT REV TOXICOL,1040-8444,1547-6898,TOXICOLOGY - SCIE,6.184
ARCHIVES OF TOXICOLOGY,ARCH TOXICOL,0340-5761,1432-0738,TOXICOLOGY - SCIE,6.168
Journal of Chemical Information and Modeling,J CHEM INF MODEL,1549-9596,1549-960X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",6.162
WATER RESOURCES RESEARCH,WATER RESOUR RES,0043-1397,1944-7973,ENVIRONMENTAL SCIENCES - SCIE; LIMNOLOGY - SCIE; WATER RESOURCES - SCIE,6.159
Computational and Structural Biotechnology Journal,COMPUT STRUCT BIOTEC,2001-0370,2001-0370,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,6.155
JOURNAL OF MOLECULAR BIOLOGY,J MOL BIOL,0022-2836,1089-8638,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,6.151
TRAFFIC,TRAFFIC,1398-9219,1600-0854,CELL BIOLOGY - SCIE,6.144
Environmental Impact Assessment Review,ENVIRON IMPACT ASSES,0195-9255,1873-6432,ENVIRONMENTAL STUDIES - SSCI,6.122
Infectious Diseases and Therapy,INFECT DIS THER,2193-8229,2193-6382,INFECTIOUS DISEASES - SCIE,6.119
Current Opinion in Chemical Engineering,CURR OPIN CHEM ENG,2211-3398,2211-3398,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,6.117
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,J NUTR BIOCHEM,0955-2863,1873-4847,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,6.117
Frontiers in Molecular Biosciences,FRONT MOL BIOSCI,N/A,2296-889X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,6.113
iScience,ISCIENCE,N/A,2589-0042,MULTIDISCIPLINARY SCIENCES - SCIE,6.107
ECOLOGICAL APPLICATIONS,ECOL APPL,1051-0761,1939-5582,ECOLOGY - SCIE; ENVIRONMENTAL SCIENCES - SCIE,6.105
Nanomedicine,NANOMEDICINE-UK,1743-5889,1748-6963,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,6.096
Frontiers in Cell and Developmental Biology,FRONT CELL DEV BIOL,2296-634X,2296-634X,CELL BIOLOGY - SCIE,6.081
Frontiers in Cellular and Infection Microbiology,FRONT CELL INFECT MI,2235-2988,2235-2988,IMMUNOLOGY - SCIE; MICROBIOLOGY - SCIE,6.073
BIOCONJUGATE CHEMISTRY,BIOCONJUGATE CHEM,1043-1802,1520-4812,"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CHEMISTRY, MULTIDISCIPLINARY - SCIE",6.069
CHEMICAL COMMUNICATIONS,CHEM COMMUN,1359-7345,1364-548X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",6.065
Biomolecules,BIOMOLECULES,N/A,2218-273X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,6.064
Frontiers in Microbiology,FRONT MICROBIOL,N/A,1664-302X,MICROBIOLOGY - SCIE,6.064
Frontiers in Bioengineering and Biotechnology,FRONT BIOENG BIOTECH,2296-4185,2296-4185,MULTIDISCIPLINARY SCIENCES - SCIE,6.064
PROGRESS IN PLANNING,PROG PLANN,0305-9006,1873-4510,ENVIRONMENTAL STUDIES - SSCI,6.063
Neural Regeneration Research,NEURAL REGEN RES,1673-5374,1876-7958,CELL BIOLOGY - SCIE,6.058
CLIMATE POLICY,CLIM POLICY,1469-3062,1752-7457,ENVIRONMENTAL STUDIES - SSCI,6.056
Frontiers of Environmental Science & Engineering,FRONT ENV SCI ENG,2095-2201,2095-221X,ENVIRONMENTAL SCIENCES - SCIE,6.048
NanoImpact,NANOIMPACT,2452-0748,2452-0748,ENVIRONMENTAL SCIENCES - SCIE,6.038
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,ENVIRON EXP BOT,0098-8472,1873-7307,ENVIRONMENTAL SCIENCES - SCIE,6.028
EUROPEAN JOURNAL OF CELL BIOLOGY,EUR J CELL BIOL,0171-9335,1618-1298,CELL BIOLOGY - SCIE,6.02
Green Chemistry Letters and Reviews,GREEN CHEM LETT REV,1751-8253,1751-7192,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",6.016
Machine Learning-Science and Technology,MACH LEARN-SCI TECHN,N/A,2632-2153,MULTIDISCIPLINARY SCIENCES - SCIE,6.013
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,AM J PHYSIOL-LUNG C,1040-0605,1522-1504,PHYSIOLOGY - SCIE,6.011
JOURNAL OF LEUKOCYTE BIOLOGY,J LEUKOCYTE BIOL,0741-5400,1938-3673,CELL BIOLOGY - SCIE; IMMUNOLOGY - SCIE,6.011
Oceanography and Marine Biology,OCEANOGR MAR BIOL,0078-3218,N/A,MARINE & FRESHWATER BIOLOGY - SCIE; OCEANOGRAPHY - SCIE,6
COLLOIDS AND SURFACES B-BIOINTERFACES,COLLOID SURFACE B,0927-7765,1873-4367,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",5.999
MEDECINE ET MALADIES INFECTIEUSES,MED MALADIES INFECT,0399-077X,1769-6690,INFECTIOUS DISEASES - SCIE,5.965
Aging-US,AGING-US,1945-4589,N/A,CELL BIOLOGY - SCIE,5.955
GLYCOBIOLOGY,GLYCOBIOLOGY,0959-6658,1460-2423,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.954
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,P I CIVIL ENG-MAR EN,1741-7597,1751-7737,WATER RESOURCES - SCIE,5.952
AIDS PATIENT CARE AND STDS,AIDS PATIENT CARE ST,1087-2914,1557-7449,INFECTIOUS DISEASES - SCIE,5.944
ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,ANTIMICROB AGENTS CH,0066-4804,1098-6596,MICROBIOLOGY - SCIE,5.938
Virology Journal,VIROL J,N/A,1743-422X,VIROLOGY - SCIE,5.916
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,INT J FOOD MICROBIOL,0168-1605,1879-3460,MICROBIOLOGY - SCIE,5.911
Journal of Cell Communication and Signaling,J CELL COMMUN SIGNAL,1873-9601,1873-961X,CELL BIOLOGY - SCIE,5.908
HARMFUL ALGAE,HARMFUL ALGAE,1568-9883,1878-1470,MARINE & FRESHWATER BIOLOGY - SCIE,5.905
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,INFECT DIS CLIN N AM,0891-5520,1557-9824,IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE,5.905
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,AM J PHYSIOL-ENDOC M,0193-1849,1522-1555,PHYSIOLOGY - SCIE,5.9
Nanotoxicology,NANOTOXICOLOGY,1743-5390,1743-5404,TOXICOLOGY - SCIE,5.881
STRUCTURE,STRUCTURE,0969-2126,1878-4186,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,5.871
MACROMOLECULAR BIOSCIENCE,MACROMOL BIOSCI,1616-5187,1616-5195,"BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; MATERIALS SCIENCE, BIOMATERIALS - SCIE",5.859
CANCER GENE THERAPY,CANCER GENE THER,0929-1903,1476-5500,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,5.854
Expert Review of Anti-Infective Therapy,EXPERT REV ANTI-INFE,1478-7210,1744-8336,INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,5.854
IMMUNOLOGY AND CELL BIOLOGY,IMMUNOL CELL BIOL,0818-9641,1440-1711,CELL BIOLOGY - SCIE; IMMUNOLOGY - SCIE,5.853
Immune Network,IMMUNE NETW,1598-2629,2092-6685,IMMUNOLOGY - SCIE,5.851
STEM CELLS,STEM CELLS,1066-5099,1549-4918,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; CELL BIOLOGY - SCIE,5.845
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,J ENVIRON ECON MANAG,0095-0696,1096-0449,ENVIRONMENTAL STUDIES - SSCI,5.84
Infectious Diseases,INFECT DIS-NOR,2374-4235,2374-4243,INFECTIOUS DISEASES - SCIE,5.838
FASEB JOURNAL,FASEB J,0892-6638,1530-6860,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; BIOLOGY - SCIE; CELL BIOLOGY - SCIE,5.834
Journal of Oral Microbiology,J ORAL MICROBIOL,N/A,2000-2297,MICROBIOLOGY - SCIE,5.833
Environmental Science-Water Research & Technology,ENVIRON SCI-WAT RES,2053-1400,2053-1419,ENVIRONMENTAL SCIENCES - SCIE; WATER RESOURCES - SCIE,5.819
Viruses-Basel,VIRUSES-BASEL,N/A,1999-4915,VIROLOGY - SCIE,5.818
Air Quality Atmosphere and Health,AIR QUAL ATMOS HLTH,1873-9318,1873-9326,ENVIRONMENTAL SCIENCES - SCIE,5.804
Remote Sensing in Ecology and Conservation,REMOTE SENS ECOL CON,N/A,2056-3485,ECOLOGY - SCIE,5.787
Environmental Toxicology and Pharmacology,ENVIRON TOXICOL PHAR,1382-6689,1872-7077,ENVIRONMENTAL SCIENCES - SCIE; TOXICOLOGY - SCIE,5.785
Life Science Alliance,LIFE SCI ALLIANCE,N/A,2575-1077,BIOLOGY - SCIE,5.781
ACS Chemical Neuroscience,ACS CHEM NEUROSCI,1948-7193,1948-7193,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.78
BIOMASS & BIOENERGY,BIOMASS BIOENERG,0961-9534,1873-2909,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,5.774
AMERICAN JOURNAL OF PATHOLOGY,AM J PATHOL,0002-9440,1525-2191,PATHOLOGY - SCIE,5.77
Combustion and Flame,COMBUST FLAME,0010-2180,1556-2921,THERMODYNAMICS - SCIE,5.767
URBAN FORESTRY & URBAN GREENING,URBAN FOR URBAN GREE,1618-8667,1610-8167,ENVIRONMENTAL STUDIES - SSCI,5.766
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,0022-2828,1095-8584,CELL BIOLOGY - SCIE,5.763
Regenerative Biomaterials,REGEN BIOMATER,2056-3418,2056-3426,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",5.763
BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,1567-5394,1878-562X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; BIOLOGY - SCIE,5.76
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,J ANTIMICROB CHEMOTH,0305-7453,1460-2091,INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,5.758
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,J ENZYM INHIB MED CH,1475-6366,1475-6374,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.756
ATMOSPHERIC ENVIRONMENT,ATMOS ENVIRON,1352-2310,1873-2844,ENVIRONMENTAL SCIENCES - SCIE,5.755
CLINICAL AND EXPERIMENTAL IMMUNOLOGY,CLIN EXP IMMUNOL,0009-9104,1365-2249,IMMUNOLOGY - SCIE,5.732
Disease Models & Mechanisms,DIS MODEL MECH,1754-8403,1754-8411,CELL BIOLOGY - SCIE; PATHOLOGY - SCIE,5.732
Biotechnology Journal,BIOTECHNOL J,1860-6768,1860-7314,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,5.726
Journal of Fungi,J FUNGI,N/A,2309-608X,MICROBIOLOGY - SCIE,5.724
APPLIED CATALYSIS A-GENERAL,APPL CATAL A-GEN,0926-860X,1873-3875,ENVIRONMENTAL SCIENCES - SCIE,5.723
Journal of Genetics and Genomics,J GENET GENOMICS,1673-8527,1873-5533,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.723
Nanomaterials,NANOMATERIALS-BASEL,N/A,2079-4991,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",5.719
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,1366-9516,1472-4642,BIODIVERSITY CONSERVATION - SCIE; ECOLOGY - SCIE,5.717
International Immunopharmacology,INT IMMUNOPHARMACOL,1567-5769,1878-1705,IMMUNOLOGY - SCIE,5.714
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,2059-7983,2059-7983,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.699
REDOX REPORT,REDOX REP,1351-0002,1743-2928,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.696
Plants People Planet,PLANTS PEOPLE PLANET,N/A,2572-2611,BIODIVERSITY CONSERVATION - SCIE; ECOLOGY - SCIE,5.695
DENTAL MATERIALS,DENT MATER,0109-5641,1879-0097,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",5.687
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,0003-9985,1543-2165,PATHOLOGY - SCIE,5.686
Expert Review of Vaccines,EXPERT REV VACCINES,1476-0584,1744-8395,IMMUNOLOGY - SCIE,5.683
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,EXPERT REV MOL DIAGN,1473-7159,1744-8352,PATHOLOGY - SCIE,5.67
Perspectives in Ecology and Conservation,PERSPECT ECOL CONSER,2530-0644,2530-0644,BIODIVERSITY CONSERVATION - SCIE,5.652
INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,INT J BIOCHEM CELL B,1357-2725,1878-5875,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,5.652
RNA,RNA,1355-8382,1469-9001,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.636
FEBS Journal,FEBS J,1742-464X,1742-4658,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.622
Virus Evolution,VIRUS EVOL,N/A,2057-1577,VIROLOGY - SCIE,5.614
BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,BIOL BLOOD MARROW TR,1083-8791,1523-6536,IMMUNOLOGY - SCIE,5.609
JOURNAL OF ANIMAL ECOLOGY,J ANIM ECOL,0021-8790,1365-2656,ECOLOGY - SCIE; ZOOLOGY - SCIE,5.608
Influenza and Other Respiratory Viruses,INFLUENZA OTHER RESP,1750-2640,1750-2659,INFECTIOUS DISEASES - SCIE; VIROLOGY - SCIE,5.606
Nanoscale Advances,NANOSCALE ADV,2516-0230,2516-0230,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",5.598
EXPERT OPINION ON BIOLOGICAL THERAPY,EXPERT OPIN BIOL TH,1471-2598,1744-7682,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,5.589
IUCrJ,IUCRJ,2052-2525,2052-2525,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",5.588
JOURNAL OF LIPOSOME RESEARCH,J LIPOSOME RES,0898-2104,1532-2394,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.586
Metabolites,METABOLITES,N/A,2218-1989,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.581
ACS Infectious Diseases,ACS INFECT DIS,2373-8227,N/A,INFECTIOUS DISEASES - SCIE,5.578
FOOD AND CHEMICAL TOXICOLOGY,FOOD CHEM TOXICOL,0278-6915,1873-6351,TOXICOLOGY - SCIE,5.572
APOPTOSIS,APOPTOSIS,1360-8185,1573-675X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,5.561
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,APPL MICROBIOL BIOT,0175-7598,1432-0614,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,5.56
CHINESE JOURNAL OF CHEMISTRY,CHINESE J CHEM,1001-604X,1614-7065,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",5.56
Journal of Zhejiang University-SCIENCE B,J ZHEJIANG UNIV-SC B,1673-1581,1862-1783,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,5.552
ENVIRONMENTAL REVIEWS,ENVIRON REV,1208-6053,1181-8700,ENVIRONMENTAL SCIENCES - SCIE,5.547
JOURNAL OF NEUROCHEMISTRY,J NEUROCHEM,0022-3042,1471-4159,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.546
Frontiers in Chemistry,FRONT CHEM,2296-2646,2296-2646,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",5.545
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,BIOLOGY - SCIE; ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,5.531
World Allergy Organization Journal,WORLD ALLERGY ORGAN,1939-4551,1939-4551,IMMUNOLOGY - SCIE,5.516
Advances in Applied Microbiology,ADV APPL MICROBIOL,0065-2164,N/A,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; MICROBIOLOGY - SCIE,5.515
LABORATORY INVESTIGATION,LAB INVEST,0023-6837,1530-0307,PATHOLOGY - SCIE,5.511
MECHANISMS OF AGEING AND DEVELOPMENT,MECH AGEING DEV,0047-6374,1872-6216,CELL BIOLOGY - SCIE,5.498
Current HIV/AIDS Reports,CURR HIV-AIDS REP,1548-3568,1548-3576,INFECTIOUS DISEASES - SCIE,5.495
JOURNAL OF BIOLOGICAL CHEMISTRY,J BIOL CHEM,N/A,1083-351X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.485
Environmental Sciences Europe,ENVIRON SCI EUR,2190-4707,2190-4715,ENVIRONMENTAL SCIENCES - SCIE,5.481
ENVIRONMENTAL MICROBIOLOGY,ENVIRON MICROBIOL,1462-2912,1462-2920,MICROBIOLOGY - SCIE,5.476
ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,1364-8152,1873-6726,ENVIRONMENTAL SCIENCES - SCIE; WATER RESOURCES - SCIE,5.471
PEDIATRIC ALLERGY AND IMMUNOLOGY,PEDIAT ALLERG IMM-UK,0905-6157,1399-3038,IMMUNOLOGY - SCIE,5.464
Sustainable Chemistry and Pharmacy,SUSTAIN CHEM PHARM,N/A,2352-5541,"CHEMISTRY, MULTIDISCIPLINARY - SCIE; ENVIRONMENTAL SCIENCES - SCIE",5.464
Advances in Protein Chemistry and Structural Biology,ADV PROTEIN CHEM STR,1876-1623,N/A,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.447
Journal of Hydrology-Regional Studies,J HYDROL-REG STUD,N/A,2214-5818,WATER RESOURCES - SCIE,5.437
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,INT J HEAT MASS TRAN,0017-9310,1879-2189,THERMODYNAMICS - SCIE,5.431
JOURNAL OF IMMUNOLOGY,J IMMUNOL,0022-1767,1550-6606,IMMUNOLOGY - SCIE,5.43
Virulence,VIRULENCE,2150-5594,2150-5608,IMMUNOLOGY - SCIE; INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,5.428
Frontiers in Environmental Science,FRONT ENV SCI-SWITZ,N/A,2296-665X,ENVIRONMENTAL SCIENCES - SCIE,5.411
Applied Water Science,APPL WATER SCI,2190-5487,2190-5495,WATER RESOURCES - SCIE,5.411
CLINICAL AND EXPERIMENTAL ALLERGY,CLIN EXP ALLERGY,0954-7894,1365-2222,IMMUNOLOGY - SCIE,5.401
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,AM J CLIN PATHOL,0002-9173,1943-7722,PATHOLOGY - SCIE,5.4
WILDLIFE MONOGRAPHS,WILDLIFE MONOGR,0084-0173,1938-5455,ECOLOGY - SCIE; ZOOLOGY - SCIE,5.4
ACS Biomaterials Science & Engineering,ACS BIOMATER SCI ENG,2373-9878,2373-9878,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",5.395
PROTEOMICS,PROTEOMICS,1615-9853,1615-9861,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,5.393
TRANSPLANTATION,TRANSPLANTATION,0041-1337,1534-6080,IMMUNOLOGY - SCIE,5.385
MAMMAL REVIEW,MAMMAL REV,0305-1838,1365-2907,ECOLOGY - SCIE; ZOOLOGY - SCIE,5.373
